A001,2015/7/01,0 
A001,2015/7/02,0 
A001,2015/7/03,0 
A001,2015/7/06,0 
A001,2015/7/07,13
A001,2015/7/08,12
A001,2015/7/09,4
A001,2015/7/10,0 
A001,2015/7/13,0 
A001,2015/7/14,0 
A001,2015/7/15,0 
A001,2015/7/16,0 
A001,2015/7/17,0 
A001,2015/7/20,0 
A001,2015/7/21,0 
A001,2015/7/22,0 
A001,2015/7/23,0 
A001,2015/7/24,0 
A001,2015/7/27,0 
A001,2015/7/28,0 
A001,2015/7/29,0 
A001,2015/7/30,0 
A001,2015/7/31,0 
A002,2015/7/01,13
A002,2015/7/02,12
A002,2015/7/03,11
A002,2015/7/06,12
A002,2015/7/07,13
A002,2015/7/08,14
A002,2015/7/09,12
A002,2015/7/10,14
A002,2015/7/13,13
A002,2015/7/14,10
A002,2015/7/15,4
A002,2015/7/16,0
A002,2015/7/17,0
A002,2015/7/20,8
A002,2015/7/21,9
A002,2015/7/22,8
A002,2015/7/23,11
A002,2015/7/24,11
A002,2015/7/27,12
A002,2015/7/28,8
A002,2015/7/29,13
A002,2015/7/30,10
A002,2015/7/31,13
A003,2015/7/01,13
A003,2015/7/02,12
A003,2015/7/03,11
A003,2015/7/06,12
A003,2015/7/07,13
A003,2015/7/08,14
A003,2015/7/09,12
A003,2015/7/10,14
A003,2015/7/13,13
A003,2015/7/14,10
A003,2015/7/15,4
A003,2015/7/16,0
A003,2015/7/17,0
A003,2015/7/20,8
A003,2015/7/21,9
A003,2015/7/22,8
A003,2015/7/23,11
A003,2015/7/24,11
A003,2015/7/27,12
A003,2015/7/28,8
A003,2015/7/29,13
A003,2015/7/30,10
A003,2015/7/31,13
A004,2015/7/01,13
A004,2015/7/02,12
A004,2015/7/03,11
A004,2015/7/06,12
A004,2015/7/07,13
A004,2015/7/08,14
A004,2015/7/09,12
A004,2015/7/10,14
A004,2015/7/13,13
A004,2015/7/14,10
A004,2015/7/15,4
A004,2015/7/16,0
A004,2015/7/17,0
A004,2015/7/20,8
A004,2015/7/21,9
A004,2015/7/22,8
A004,2015/7/23,11
A004,2015/7/24,11
A004,2015/7/27,12
A004,2015/7/28,8
A004,2015/7/29,13
A004,2015/7/30,10
A004,2015/7/31,13

A005,2015/7/01,13
A005,2015/7/02,12
A005,2015/7/03,11
A005,2015/7/06,12
A005,2015/7/07,13
A005,2015/7/08,14
A005,2015/7/09,12
A005,2015/7/10,14
A005,2015/7/13,13
A005,2015/7/14,10
A005,2015/7/15,4
A005,2015/7/16,0
A005,2015/7/17,0
A005,2015/7/20,8
A005,2015/7/21,9
A005,2015/7/22,8
A005,2015/7/23,11
A005,2015/7/24,11
A005,2015/7/27,12
A005,2015/7/28,8
A005,2015/7/29,13
A005,2015/7/30,10
A005,2015/7/31,13

A006,2015/7/01,13
A006,2015/7/02,12
A006,2015/7/03,11
A006,2015/7/06,12
A006,2015/7/07,13
A006,2015/7/08,14
A006,2015/7/09,12
A006,2015/7/10,14
A006,2015/7/13,13
A006,2015/7/14,10
A006,2015/7/15,4
A006,2015/7/16,0
A006,2015/7/17,0
A006,2015/7/20,8
A006,2015/7/21,9
A006,2015/7/22,8
A006,2015/7/23,11
A006,2015/7/24,11
A006,2015/7/27,12
A006,2015/7/28,8
A006,2015/7/29,13
A006,2015/7/30,10
A006,2015/7/31,13

A007,2015/7/01,13
A007,2015/7/02,12
A007,2015/7/03,11
A007,2015/7/06,12
A007,2015/7/07,13
A007,2015/7/08,14
A007,2015/7/09,12
A007,2015/7/10,14
A007,2015/7/13,13
A007,2015/7/14,10
A007,2015/7/15,4
A007,2015/7/16,0
A007,2015/7/17,0
A007,2015/7/20,8
A007,2015/7/21,9
A007,2015/7/22,8
A007,2015/7/23,11
A007,2015/7/24,11
A007,2015/7/27,12
A007,2015/7/28,8
A007,2015/7/29,13
A007,2015/7/30,10
A007,2015/7/31,13

A008,2015/7/01,13
A008,2015/7/02,12
A008,2015/7/03,11
A008,2015/7/06,12
A008,2015/7/07,13
A008,2015/7/08,14
A008,2015/7/09,12
A008,2015/7/10,14
A008,2015/7/13,13
A008,2015/7/14,10
A008,2015/7/15,4
A008,2015/7/16,0
A008,2015/7/17,0
A008,2015/7/20,8
A008,2015/7/21,9
A008,2015/7/22,8
A008,2015/7/23,11
A008,2015/7/24,11
A008,2015/7/27,12
A008,2015/7/28,8
A008,2015/7/29,13
A008,2015/7/30,10
A008,2015/7/31,13

A009,2015/7/01,13
A009,2015/7/02,12
A009,2015/7/03,11
A009,2015/7/06,12
A009,2015/7/07,13
A009,2015/7/08,14
A009,2015/7/09,12
A009,2015/7/10,14
A009,2015/7/13,13
A009,2015/7/14,10
A009,2015/7/15,4
A009,2015/7/16,0
A009,2015/7/17,0
A009,2015/7/20,8
A009,2015/7/21,9
A009,2015/7/22,8
A009,2015/7/23,11
A009,2015/7/24,11
A009,2015/7/27,12
A009,2015/7/28,8
A009,2015/7/29,13
A009,2015/7/30,10
A009,2015/7/31,13

A010,2015/7/01,13
A010,2015/7/02,12
A010,2015/7/03,11
A010,2015/7/06,12
A010,2015/7/07,13
A010,2015/7/08,14
A010,2015/7/09,12
A010,2015/7/10,14
A010,2015/7/13,13
A010,2015/7/14,10
A010,2015/7/15,4
A010,2015/7/16,0
A010,2015/7/17,0
A010,2015/7/20,8
A010,2015/7/21,9
A010,2015/7/22,8
A010,2015/7/23,11
A010,2015/7/24,11
A010,2015/7/27,12
A010,2015/7/28,8
A010,2015/7/29,13
A010,2015/7/30,10
A010,2015/7/31,13

